time	flux
2456895.54877	1.00076130467
2456895.54992	1.00076535412
2456895.55054	1.0007675208
2456895.55107	1.00076938304
2456895.55169	1.00077153851
2456895.55222	1.00077339097
2456895.55284	1.00077553497
2456895.55337	1.00077737743
2456895.55399	1.00077950971
2456895.55452	1.00078134194
2456895.55514	1.00078346225
2456895.55567	1.00078528404
2456895.55629	1.00078739212
2456895.55682	1.00078920326
2456895.55744	1.00079129885
2456895.55798	1.00079309912
2456895.55859	1.00079518197
2456895.55913	1.00079697115
2456895.55974	1.00079904103
2456895.56028	1.0008008189
2456895.56089	1.00080287555
2456895.56143	1.00080464189
2456895.56205	1.00080668506
2456895.56258	1.00080843968
2456895.5632	1.00081046911
2456895.56373	1.00081221179
2456895.56435	1.00081422725
2456895.56488	1.00081595776
2456895.5655	1.00081795901
2456895.56603	1.00081967715
2456895.56665	1.00082166393
2456895.56718	1.0008233695
2456895.5678	1.00082534158
2456895.56833	1.00082703436
2456895.56895	1.00082899149
2456895.56948	1.00083067128
2456895.5701	1.00083261322
2456895.57063	1.00083427981
2456895.57125	1.00083620632
2456895.57178	1.0008378595
2456895.5724	1.00083977035
2456895.57294	1.00084140993
2456895.57355	1.00084330488
2456895.57409	1.00084493064
2456895.5747	1.00084680946
2456895.57524	1.00084842121
2456895.57586	1.00085028366
2456895.57639	1.0008518812
2456895.57701	1.00085372705
2456895.57754	1.00085531018
2456895.57816	1.0008571392
2456895.57869	1.00085870773
2456895.57931	1.00086051969
2456895.57984	1.00086207341
2456895.58046	1.00086386809
2456895.58099	1.00086540681
2456895.58161	1.00086718398
2456895.58214	1.00086870752
2456895.58276	1.00087046696
2456895.58329	1.00087197511
2456895.58391	1.0008737166
2456895.58444	1.00087520918
2456895.58506	1.0008769325
2456895.58559	1.00087840932
2456895.58621	1.00088011425
2456895.58675	1.00088157513
2456895.58736	1.00088326145
2456895.5879	1.0008847062
2456895.58851	1.00088637371
2456895.58905	1.00088780215
2456895.58967	1.00088945062
2456895.5902	1.00089086257
2456895.59082	1.00089249181
2456895.59135	1.00089388708
2456895.59197	1.00089549688
2456895.5925	1.0008968753
2456895.59312	1.00089846544
2456895.59365	1.00089982684
2456895.59427	1.00090139713
2456895.5948	1.00090274133
2456895.59542	1.00090429156
2456895.59595	1.00090561839
2456895.59657	1.00090714837
2456895.5971	1.00090845766
2456895.59772	1.0009099672
2456895.59825	1.00091125878
2456895.59887	1.00091274767
2456895.5994	1.00091402137
2456895.60002	1.00091548943
2456895.60055	1.0009167451
